"","y"
"1",0.956
"2",2.826
"3",1.338
"4",1.601
"5",3.331
"6",1.542
"7",2.121
"8",2.915
"9",1.869
"10",0.796
"11",0.973
"12",1.157
"13",1.374
"14",2.078
"15",1.133
"16",1.157
"17",1.499
"18",1.453
"19",1.116
"20",0.638
"21",1.075
"22",1.913
"23",2.928
"24",0.467
"25",0.546
"26",1.446
"27",3.352
"28",2.513
"29",1.898
"30",1.588
"31",0.117
"32",0.38
"33",0.603
"34",2.399
"35",2.492
"36",1.223
"37",0.77
"38",1.015
"39",5.797
"40",1.785
"41",0.262
"42",1.115
"43",3.22
"44",3.655
"45",1.809
"46",1.267
"47",3.362
"48",3.716
"49",1.841
"50",3.059
"51",1.548
"52",0.865
"53",2.005
"54",0.416
"55",2.204
"56",1.328
"57",1.645
"58",1.99
"59",1.469
"60",3.091
"61",1.228
"62",1.327
"63",2.747
"64",1.958
"65",1.776
"66",0.264
"67",1.027
"68",2.385
"69",2.287
"70",3.122
"71",1.069
"72",0.937
"73",0.91
"74",1.924
"75",2.285
"76",0.693
"77",0.139
"78",1.301
"79",0.807
"80",1.198
"81",2.33
"82",1.796
"83",0.709
"84",1.966
"85",0.522
"86",2.077
"87",0.545
"88",1.005
"89",0.539
"90",1.233
"91",1.474
"92",3.104
"93",1.523
"94",0.975
"95",2.289
"96",1.604
"97",1.386
"98",1.905
"99",2.087
"100",3.224
"101",1.268
"102",1.79
"103",0.594
"104",1.688
"105",0.803
"106",1.526
"107",2.374
"108",1.665
"109",2.275
"110",1.173
"111",2.419
"112",0.704
"113",2.123
"114",2.729
"115",1.429
"116",3.923
"117",1.71
"118",2.627
"119",2.712
"120",1.174
"121",0.36
"122",2.153
"123",2.749
"124",2.147
"125",3.364
"126",1.847
"127",1.959
"128",1.736
"129",1.703
"130",0.864
"131",3.422
"132",1.539
"133",1.711
"134",1.386
"135",1.897
"136",1.672
"137",1.621
"138",1.422
"139",1.372
"140",1.381
"141",0.878
"142",2.5
"143",1.226
"144",2.932
"145",1.471
"146",1.206
"147",3.373
"148",0.974
"149",2.873
"150",0.52
"151",1.364
"152",0.897
"153",1.679
"154",1.173
"155",3.22
"156",1.836
"157",0.255
"158",1.101
"159",2.089
"160",2.132
"161",1.058
"162",2.325
"163",1.246
"164",2.543
"165",1.515
"166",1.336
"167",2.39
"168",2.76
"169",1.186
"170",1.082
"171",3.576
"172",1.308
"173",1.219
"174",1.657
"175",4.475
"176",1.387
"177",1.075
"178",0.739
"179",1.701
"180",2.196
"181",1.157
"182",1.254
"183",2.513
"184",2.003
"185",1.582
"186",1.504
"187",1.194
"188",3.146
"189",3.65
"190",1.867
"191",1.588
"192",0.695
"193",2.423
"194",1.368
"195",3.301
"196",1.457
"197",1.232
"198",3.035
"199",1.948
"200",0.889
"201",1.468
"202",4.589
"203",0.8
"204",1.123
"205",3.694
"206",1.612
"207",4.23
"208",1.005
"209",2.177
"210",1.919
"211",3.256
"212",1.901
"213",2.817
"214",2.498
"215",3.007
"216",1.576
"217",2.735
"218",1.982
"219",1.302
"220",1.812
"221",2.111
"222",2.457
"223",2.512
"224",2.342
"225",1.828
"226",1.655
"227",2.386
"228",0.714
"229",1.44
"230",2.8
"231",0.838
"232",1.742
"233",1.21
"234",1.973
"235",2.067
"236",0.79
"237",0.911
"238",3.268
"239",2.39
"240",1.411
"241",0.552
"242",1.445
"243",1.932
"244",1.321
"245",0.495
"246",1.028
"247",1.493
"248",2.416
"249",0.641
"250",2.798
